timestamp,open,high,low,close,volume
2024-12-12,227.3,234.7,225.68,226.98,453674.65
2024-12-13,226.98,228.4,220.6,224.77,330935.91
2024-12-14,224.77,227.47,215.18,219.91,258199.6
2024-12-15,219.91,225.45,215.67,224.3,234650.82
2024-12-16,224.3,227.47,213.26,216.21,409715.84
2024-12-17,216.21,228.93,211.44,223.13,709946.42
2024-12-18,223.13,226.0,204.88,206.55,859073.52
2024-12-19,206.55,212.14,187.04,193.81,1324594.12
2024-12-20,193.81,199.77,175.31,194.54,1764410.51
2024-12-21,194.54,201.99,178.45,181.42,707343.33
2024-12-22,181.42,187.88,176.9,180.5,520933.79
2024-12-23,180.5,193.47,176.52,190.11,680145.27
2024-12-24,190.11,199.0,186.15,197.1,382869.4
2024-12-25,197.1,201.85,195.06,197.45,348140.88
2024-12-26,197.45,199.71,186.61,188.47,393090.84
2024-12-27,188.47,194.37,182.83,184.23,426564.45
2024-12-28,184.23,196.08,183.83,195.49,319014.53
2024-12-29,195.49,197.71,188.58,189.94,313804.36
2024-12-30,189.94,196.43,185.9,191.37,502587.81
2024-12-31,191.37,199.26,188.04,189.31,506286.88
2025-01-01,189.31,195.34,188.0,194.29,374304.12
2025-01-02,194.29,210.49,193.47,208.29,682374.42
2025-01-03,208.29,219.83,205.62,218.0,578882.14
2025-01-04,218.0,218.13,213.56,216.67,442326.15
2025-01-05,216.67,219.06,211.48,213.4,411060.88
2025-01-06,213.4,223.16,211.56,218.22,583354.87
2025-01-07,218.22,219.12,201.83,202.15,692331.13
2025-01-08,202.15,203.27,188.34,197.46,855868.66
2025-01-09,197.46,199.05,182.0,184.96,542690.44
2025-01-10,184.96,193.0,183.5,187.7,625858.56
2025-01-11,187.7,191.9,184.05,188.08,371234.43
2025-01-12,188.08,191.0,185.17,188.5,274386.5
2025-01-13,188.5,191.93,169.0,182.8,780500.51
2025-01-14,182.8,190.11,181.87,187.57,215172.53
2025-01-15,187.57,206.03,185.84,205.85,248116.07
2025-01-16,205.85,217.12,198.49,211.1,300012.52
2025-01-17,211.1,222.1,209.85,219.42,270420.39
